Weather,Time of day,Budget,Physicality level,Environment,Group size,Activity
sunny,evening,medium,2,outdoors,2,Swimming
sunny,evening,low,3,outdoors,4+,Beach
sunny,evening,low,2,outdoors,2,Kite flying
sunny,morning,medium,1,indoors,2,Comedy
cloudy,afternoon,low,1,outdoors,4+,Picnic
sunny,afternoon,low,1,outdoors,3,Beach
sunny,evening,high,1,indoors,4+,Eating out
sunny,evening,low,3,outdoors,3,Surfing
cloudy,afternoon,high,1,outdoors,3,Concert
sunny,evening,low,2,outdoors,3,Beach
rainy,morning,low,1,indoors,4+,Board games
snowy,morning,low,1,outdoors,4+,Stargazing
rainy,morning,low,1,outdoors,4+,Stargazing
snowy,evening,low,1,outdoors,4+,Stargazing
cloudy,evening,low,3,outdoors,4+,Biking
sunny,afternoon,medium,2,indoors,2,Cooking class
sunny,evening,low,3,outdoors,1,Surfing
cloudy,afternoon,medium,2,indoors,3,Yoga
sunny,afternoon,low,2,outdoors,2,Kite flying
sunny,afternoon,medium,2,outdoors,1,Swimming
rainy,afternoon,medium,1,indoors,4+,Karaoke
sunny,afternoon,medium,1,indoors,4+,Museum
cloudy,afternoon,high,1,outdoors,3,Zoo
cloudy,afternoon,medium,3,outdoors,1,Hiking
sunny,afternoon,medium,1,indoors,3,Comedy
cloudy,morning,low,1,outdoors,1,Stargazing
cloudy,morning,medium,1,indoors,2,Museum
rainy,evening,low,2,outdoors,2,Kite flying
cloudy,morning,medium,2,indoors,2,Yoga
cloudy,afternoon,low,1,outdoors,1,Park
cloudy,evening,medium,2,indoors,1,Yoga
cloudy,afternoon,high,1,outdoors,2,Concert
cloudy,afternoon,medium,1,indoors,4+,Comedy
cloudy,morning,low,3,outdoors,2,Hiking
sunny,afternoon,medium,2,outdoors,3,Swimming
cloudy,morning,medium,2,indoors,2,Cooking class
cloudy,morning,medium,1,indoors,2,Karaoke
sunny,evening,low,1,outdoors,3,Beach
cloudy,evening,medium,1,indoors,3,Comedy
cloudy,morning,low,3,outdoors,4+,Biking
cloudy,afternoon,high,1,outdoors,2,Zoo
sunny,evening,low,2,outdoors,3,Beach
snowy,morning,medium,1,indoors,3,Comedy
sunny,morning,high,1,outdoors,2,Concert
sunny,morning,low,3,outdoors,4+,Beach
rainy,evening,low,1,outdoors,2,Stargazing
rainy,evening,medium,2,indoors,4+,Cooking class
sunny,evening,low,3,outdoors,4+,Biking
cloudy,evening,low,1,indoors,4+,Board games
cloudy,evening,medium,2,indoors,4+,Escape room
sunny,evening,medium,3,outdoors,1,Hiking
cloudy,evening,high,1,indoors,2,Eating out
sunny,morning,medium,1,indoors,3,Comedy
snowy,evening,medium,2,indoors,4+,Cooking class
rainy,morning,high,1,indoors,4+,Eating out
cloudy,morning,low,1,outdoors,3,Park
snowy,evening,high,3,outdoors,3,Skiing
sunny,morning,low,2,outdoors,3,Beach
cloudy,afternoon,high,1,indoors,2,Eating out
sunny,afternoon,low,1,outdoors,1,Stargazing
cloudy,afternoon,low,1,outdoors,1,Park
rainy,afternoon,high,1,indoors,2,Eating out
sunny,afternoon,medium,3,outdoors,4+,Hiking
sunny,morning,medium,3,outdoors,4+,Swimming
cloudy,morning,low,1,outdoors,2,Stargazing
sunny,morning,medium,3,outdoors,2,Swimming
cloudy,afternoon,low,1,outdoors,1,Park
rainy,evening,medium,1,indoors,4+,Karaoke
snowy,morning,medium,2,indoors,2,Yoga
snowy,evening,high,3,outdoors,3,Skiing
rainy,evening,medium,2,indoors,2,Yoga
cloudy,evening,medium,1,indoors,4+,Comedy
rainy,morning,medium,1,indoors,3,Movie
snowy,afternoon,high,3,outdoors,1,Skiing
sunny,morning,high,1,outdoors,4+,Zoo
sunny,afternoon,low,3,outdoors,4+,Beach
sunny,evening,medium,1,indoors,1,Museum
sunny,morning,high,1,outdoors,4+,Concert
rainy,morning,medium,1,indoors,3,Movie
rainy,morning,medium,1,indoors,4+,Museum
